poem_style,poem_text,poem_title,poet_cat,poet_name,poem_generate_text,score
فصحى,  في زمان يصارحني لست مني واصارحه لست منك واجهد ان افهمه وانا الان طيف يتشرد في مهمه ويخيم في جمجمه ,صحراء II ,سوريا,أدونيس,  في زمان يصارحني لست مني واصارحه لست منك واجهد ان افهمه وانا الان طيف يتشرد في مهمه ويخيم في جمجمه اصمتي,0.953
فصحى, مساء الخير يا قمرا علي افاقنا يظهر مساء الخير يا احلي من الدراق والسكر ويا اغلي من الياقوت والمرجان والاصفر ويا من فوق اهدابي وبين جوانحي تسهر انام السحر في عينيك,مساء الخير ,السعودية,حسين احمد النجمي, مساء الخير يا قمرا علي افاقنا يظهر مساء الخير يا احلي من الدراق والسكر ويا اغلي من الياقوت والمرجان والاصفر ويا من فوق اهدابي وبين جوانحي تسهر انام السحر في عينيك اجمل,0.968
فصحى, سقيا لايام خلت اذ لم اقل سقيا لايام خلت وعصور ايام يرعاني الشباب متعا في روضة من لهوه وغدير مستقبلا اوطاره لم انصرف عن وجه مامول الي محذور,سقيا لأيامٍ خلتْ إذ لم أقل ,العصر العباسي,ابن الرومي, سقيا لايام خلت اذ لم اقل سقيا لايام خلت وعصور ايام يرعاني الشباب متعا في روضة من لهوه وغدير مستقبلا اوطاره لم انصرف عن وجه مامول الي محذور و,0.965
فصحى, الا ليت شعري هل ابيتن ليلة يروحني بالغوطتين نسيم وهل يجمعن الكاس شملي بفتية علي العيش منهم نضرة ونعيم,ألا ليتَ شعرِي هلْ أبيتَنَّ ليلة ً ,العصر العباسي,ابن الخياط, الا ليت شعري هل ابيتن ليلة يروحني بالغوطتين نسيم وهل يجمعن الكاس شملي بفتية علي العيش منهم نضرة ونعيم الم تر لي,0.86
فصحى,قلبي يتعلق بالاحلام ويعشق وجه البحر يتفطر مثل تويج الزهر يمشي فوق البحر ويسقط في ماء النهر ويعشب مثل الصحراء اذا عاجلها غيم مشتاق قلبي يتساقط منه التفاح علي سطح المكتب يتدحرج,زحام ,السعودية,زياد آل الشيخ,قلبي يتعلق بالاحلام ويعشق وجه البحر يتفطر مثل تويج الزهر يمشي فوق البحر ويسقط في ماء النهر ويعشب مثل الصحراء اذا عاجلها غيم مشتاق قلبي يتساقط منه التفاح علي سطح المكتب يتدحرج فيه,0.968
فصحى, بحسن طلعتك الدنيا تهنيها فانها بك قد نالت امانيها والعيد اصبح من علياك مبتسما والدهر والناس والدنيا ومن فيها ما العيد الا هلال منك مقتبس نورا لعين الوري يجلو اماقيها ادار,بِحُسن طَلعَتِكَ الدُنيا تَهنيها ,مصر,عائشة التيمورية, بحسن طلعتك الدنيا تهنيها فانها بك قد نالت امانيها والعيد اصبح من علياك مبتسما والدهر والناس والدنيا ومن فيها ما العيد الا هلال منك مقتبس نورا لعين الوري يجلو اماقيها ادار طرفي,0.968
فصحى, ليل الهوي يقظان و الحب ترب السهر والصبر لي خوان والنوم من عيني بري يا روضة الانس روض المني منك جديب لولاك لم امس في الدار والاهل غريب رضاك لنفس مثل,ليلُ الهوى يقظانْ ,العصر الأندلسي,ابن سهل الأندلسي, ليل الهوي يقظان و الحب ترب السهر والصبر لي خوان والنوم من عيني بري يا روضة الانس روض المني منك جديب لولاك لم امس في الدار والاهل غريب رضاك لنفس مثل س,0.968
فصحى, اعد البناء وجد الميثاقا وخذ السبيل مبادرا سباقا جد النضال ومن وراءك فتية تهب النفوس وتبذل الاعلاقا عقدت بايات الكتاب عهودها فاعقد عليها من سناه نطاقا ان كنت يوما بانيا ومجندا,أعد البناء وجدد الميثاقا ,مصر,أحمد محرم, اعد البناء وجد الميثاقا وخذ السبيل مبادرا سباقا جد النضال ومن وراءك فتية تهب النفوس وتبذل الاعلاقا عقدت بايات الكتاب عهودها فاعقد عليها من سناه نطاقا ان كنت يوما بانيا ومجندا ف,0.968
فصحى, لواعج الشوق تخطيهم وتصميني والوم في الحب ينهاهم ويغريني ولو لقوا بعض ما القي نعمت بهم لكنهم سلموا ما يعنيني وبالكثيب الي الاجزاع نازلة علقت منها بوعد غير مضمون ما سوغوني,لواعج الشوق تخطيهم وتصميني ,العصر العباسي,الشريف الرضي, لواعج الشوق تخطيهم وتصميني والوم في الحب ينهاهم ويغريني ولو لقوا بعض ما القي نعمت بهم لكنهم سلموا ما يعنيني وبالكثيب الي الاجزاع نازلة علقت منها بوعد غير مضمون ما سوغوني وما,0.968
فصحى, وحبك ما استحسنت غير مجرب عليك اذا لم تنتهك فيه محرما,وحبك ما استحسنت غير مجرب ,العصر العباسي,الخُبز أَرزي, وحبك ما استحسنت غير مجرب عليك اذا لم تنتهك فيه محرما وافي بصيرا ان ناءله مءنب فاورده حوض الامان,0.565
فصحى,في الخيام السود ,أزهار من جهنم ,فلسطين,راشد حسين,في الخيام السود يابي لك ان تبينا علي ما فات من عمرك او نموت بلا ذنب و لا موت اذا كان هذا الناس يكرهونك الان فلن تسمع,0.0
فصحى, هم علموا عيني سءال المعالم بنوعين هطال عليها وساجم ابوا ظنة بي ان اري غير مغرم فهموا بقلبي ان يري غير هاءم كانهم اذ ازمعوا سلبوا الكري جفوني فما احظي بلذة,همُ علّموا عيني سؤال المعالمِ ,العصر العباسي,علي بن محمد التهامي, هم علموا عيني سءال المعالم بنوعين هطال عليها وساجم ابوا ظنة بي ان اري غير مغرم فهموا بقلبي ان يري غير هاءم كانهم اذ ازمعوا سلبوا الكري جفوني فما احظي بلذة من,0.968
فصحى,غيمة من كلام تبخر من جث الانبياء وتغطي الفضاء,حالة غيمة ,سوريا,أدونيس,غيمة من كلام تبخر من جث الانبياء وتغطي الفضاء بالجراح التي تحرسها الكلمات او تكتب في اليل البهيم قصيدتها الاخيرة قد تقطر الا,0.345
فصحى, رجوت الصبر عنك فراث صبري وقدما كان صبري لا يريث فقلت تمثلا لك ليت شعري متي ياتي غياثك من تغيث,رجوت الصبر عنك فراث صبري ,العصر العباسي,الخُبز أَرزي, رجوت الصبر عنك فراث صبري وقدما كان صبري لا يريث فقلت تمثلا لك ليت شعري متي ياتي غياثك من تغيثه فقال نعم قد,0.822
فصحى, هذي الرواءع من ذاك الظي خلق ما اضعف السيف حين الخلق يمتشق ما في الحديد ولا في النار منتصر كلاهما في لهيب الحق يحترق اله اكبر في الفكر من شعل حذار,هذي الرَوائِعُ مِن ذاكَ اللَظى خُلُقُ ,لبنان,الياس أبو شبكة, هذي الرواءع من ذاك الظي خلق ما اضعف السيف حين الخلق يمتشق ما في الحديد ولا في النار منتصر كلاهما في لهيب الحق يحترق اله اكبر في الفكر من شعل حذار الردي,0.968
فصحى, فما عزلوك مسبوقا ولكن الي الخيرات سباقا جوادا وكنت اخي وما ولدتك امي وصولا باذلا لي مستزادا وقد هيضت لنكبتك القدامي كذاك اله يفعل ما ارادا,فما عزلوك مسبوقاً ولكن ,العصر الإسلامي,عدي بن الرقاع, فما عزلوك مسبوقا ولكن الي الخيرات سباقا جوادا وكنت اخي وما ولدتك امي وصولا باذلا لي مستزادا وقد هيضت لنكبتك القدامي كذاك اله يفعل ما ارادا وان,0.962
فصحى, املا القدح واعص من نصح وارو غلتي بابنة الفرح فالفتي متي ذاقها انشرح وهي ان سرت في العليل صح او صبا بها باخل سمح هجر الكري واغد نصطبح فالدجي مضي والسنا,امْلإِ الْقَدَحْ ,مصر,محمود سامي البارودي, املا القدح واعص من نصح وارو غلتي بابنة الفرح فالفتي متي ذاقها انشرح وهي ان سرت في العليل صح او صبا بها باخل سمح هجر الكري واغد نصطبح فالدجي مضي والسنا علي,0.968
فصحى,لماذا تغلقين الباب ومن قال باني اطرق الابواب انا لا شيء يمنعني ومهما كانت الاسباب فلا حرس سيمنعني ولا باب ولا بواب ,لماذا تغلقين الباب ؟ ,مصر,عبدالعزيز جويدة,لماذا تغلقين الباب ومن قال باني اطرق الابواب انا لا شيء يمنعني ومهما كانت الاسباب فلا حرس سيمنعني ولا باب ولا بواب ي,0.953
فصحى, لقد سجعت في جنح ليل حمامة فاي اسي هاجت علي الهاءم الصب لك الويل كم هيجت شجوي بلا جوي وشكوي بلا شكوي وكربا بلا كرب واسكبت دمعا من جفون مسهد وما,لقَدْ سَجَعَتْ في جُنْحِ لَيْلٍ حَمامة ٌ ,العصر الأندلسي,ابن عبد ربه, لقد سجعت في جنح ليل حمامة فاي اسي هاجت علي الهاءم الصب لك الويل كم هيجت شجوي بلا جوي وشكوي بلا شكوي وكربا بلا كرب واسكبت دمعا من جفون مسهد وما زال,0.968
فصحى, الحق في شاهد يبدو ومشهود والخلق ما بين مفقود وموجود ان قلت هذا هو المخلوق قيل انا الحق باطنه من غير تقيد او قلت هذا هو الحق الذي شهدت له دلالته,الحقُّ في شاهدٍ يبدو ومشهودِ ,العصر العباسي,محيي الدين  بن عربي, الحق في شاهد يبدو ومشهود والخلق ما بين مفقود وموجود ان قلت هذا هو المخلوق قيل انا الحق باطنه من غير تقيد او قلت هذا هو الحق الذي شهدت له دلالته بوجوده,0.968
فصحى, اغنية,فيروز المبكي ,السعودية,محمد الحارثي, اغنية من نور في سماءك ما زال صوتك يرفرف فوق جدران اليل يغمرني بالزهر والزينات يا حبذا ليل بهيم بريء الوجه قد صار,0.0
فصحى, هاقد كتبت فما ردت جوابي ورجعت مختوما علي كتابي واتي رسولي مستكينا يشتكي ذل الحجاب ونخوة البواب وكاني بك قد كتبت معذرا وطلمتني بملامة وعتاب فارجع الي الانصاف واعلم انه اولي,هاقَدْ كتبتُ فما رَدَدْتَ جَوابِي ,العصر العباسي,كشاجم, هاقد كتبت فما ردت جوابي ورجعت مختوما علي كتابي واتي رسولي مستكينا يشتكي ذل الحجاب ونخوة البواب وكاني بك قد كتبت معذرا وطلمتني بملامة وعتاب فارجع الي الانصاف واعلم انه اولي بمن,0.968
فصحى,هو ليس لبلابا فكيف تسلق السور العظيم الي حداءق ياسمينك و اشراب هو ليس غيما كيف اسقط ثلجه نارا تلظي فوق روضة من احب هو ليس بركانا فكيف تجرات يده علي حرق,و لكِ اعتذار بنفسجات ,مصر,جمال مرسي,هو ليس لبلابا فكيف تسلق السور العظيم الي حداءق ياسمينك و اشراب هو ليس غيما كيف اسقط ثلجه نارا تلظي فوق روضة من احب هو ليس بركانا فكيف تجرات يده علي حرق اح,0.968
فصحى, حي الصفوف لراب الصدع تجتمع وحي صرخة ايقاظ بمن هجعوا ان الشباب جنود اله الفهم في ,إلى الشباب السوري.. ,العراق,محمد مهدي الجواهري, حي الصفوف لراب الصدع تجتمع وحي صرخة ايقاظ بمن هجعوا ان الشباب جنود اله الفهم في مامنه وفي امن من كيد الطغاة تجمع ما,0.659
فصحى, وشادن افسد قل بي بعد حسن توبته و زارني من قبل اع لامي بوقت زورته جاء بجيش الحسن في عديده وعدته العيش والمات في وصاله وهجرته وقوسه وسهمه وسيفه في لحظته,وشادنٍ أفسدَ قَلـ ,العصر العباسي,ابن المعتز, وشادن افسد قل بي بعد حسن توبته و زارني من قبل اع لامي بوقت زورته جاء بجيش الحسن في عديده وعدته العيش والمات في وصاله وهجرته وقوسه وسهمه وسيفه في لحظته وث,0.968
فصحى, اجارتنا اخطات حظك فاخرجي ولا تدخلي بيني وبين المشمرج اخي لامني او لمته ثم نرعوي الي ثابت من حلمنا غير مخدج نعود اذا اعوج سبيل باهلها حفاظا وليس الحق فينا باعوج,أجَارَتَنَا أخْطَأتِ حَظَّك فاخْرُجِي ,العصر العباسي,بشار بن برد, اجارتنا اخطات حظك فاخرجي ولا تدخلي بيني وبين المشمرج اخي لامني او لمته ثم نرعوي الي ثابت من حلمنا غير مخدج نعود اذا اعوج سبيل باهلها حفاظا وليس الحق فينا باعوج فلا,0.968
فصحى, واذا حضرن مع الملاح بمجلس ابصرتهن وما قبحن قباحا,وإذا حضرن مع الملاح بمجلس ,العصر العباسي,السيد الحميري, واذا حضرن مع الملاح بمجلس ابصرتهن وما قبحن قباحا فقال قد رايت من الواتي كانها ملس المتون نقاحا فقلت لا,0.433
فصحى, عجبت من طرفي وخد المليح كلاهما هذا بهذا جريح هذا دم الراح به واقف و ذا دم الادمع فيه يسيح تغزلي المنظوم فيه وفي سلطانا الناصر نظم المديح في دعة اله,عجبتُ من طرفي وخدّ المليح ,العصر الأندلسي,ابن نباتة المصري, عجبت من طرفي وخد المليح كلاهما هذا بهذا جريح هذا دم الراح به واقف و ذا دم الادمع فيه يسيح تغزلي المنظوم فيه وفي سلطانا الناصر نظم المديح في دعة الهزار,0.967
فصحى, هل ليالي بالمنقي رجوع مثلما كن لي ونحن جميع زمن راعني تذكره الثا وي وان كان ماضيا لا يريع كم اليه لذاكريه حنين وعليه لناظريه دموع ونزاع ما ان يخاف وان,هل ليالي بالمنقى رجوعُ ,العصر العباسي,الشريف المرتضى, هل ليالي بالمنقي رجوع مثلما كن لي ونحن جميع زمن راعني تذكره الثا وي وان كان ماضيا لا يريع كم اليه لذاكريه حنين وعليه لناظريه دموع ونزاع ما ان يخاف وان ه,0.968
فصحى,  اولاد ادم وقبله ابليس الاثنان ولدا من طوفان خطيءة ,مقاطع (2) ,عمان,سيف الرحبي,  اولاد ادم وقبله ابليس الاثنان ولدا من طوفان خطيءة ياءسين في الدنيا هما ولداني قد اتفقا علي تفسير ما القران يا امي منذ قرون لم,0.37
فصحى,امض ابتعد واحتضن الامواج والهواء واحمل علي اهدابك السحاب والبروق ولتنكسر وراءك مراتنا ولتنكسر قارورة السنين واترك لنا وراءك لا لا تدع وراءك غير بقايا حسرة وطين غير الدم اليابس في العروق,اترك لنا وراءك ,سوريا,أدونيس,امض ابتعد واحتضن الامواج والهواء واحمل علي اهدابك السحاب والبروق ولتنكسر وراءك مراتنا ولتنكسر قارورة السنين واترك لنا وراءك لا لا تدع وراءك غير بقايا حسرة وطين غير الدم اليابس في العروق اه,0.968
